protocol,elapsed_s,status_code
HTTP,0.040938999998616055,200
HTTP,0.011793299985583872,200
HTTP,0.03315239999210462,200
HTTP,0.032452500017825514,200
HTTP,0.016069799981778488,200
HTTP,0.01334029997815378,200
HTTP,0.017393699992680922,200
HTTP,0.012898200016934425,200
HTTP,0.03261009999550879,200
HTTP,0.01981630001682788,200
TCP,0.0027877999818883836,200
TCP,0.0018600999901536852,200
TCP,0.0018721999949775636,200
TCP,0.0019853000121656805,200
TCP,0.0018686999974306673,200
TCP,0.0020027999999001622,200
TCP,0.0015184000076260418,200
TCP,0.0017396000039298087,200
TCP,0.0013282999861985445,200
TCP,0.001877500006230548,200
